prompt,response
Are there any conditions for getting Govt aircraft/helicopters (including Public Sector Undertakings) by political parties/candidates?,"Yes. While allowing the chartering of Govt. aircrafts/helicopters to political parties/candidates or private companies etc., the following conditions should be followed:- There should be no discrimination between the ruling party on the one hand and the other parties and contesting candidates on the other. The payment will be made by the political parties or the contesting candidates and proper record maintained. The rates and terms and conditions should be uniform for all. The actual allotment should be made on the first-come first-served basis. For this purpose, the date and time of receipt of the application should be noted down by the authorized receiving authority. In the rare case when both the date and time of two or more applicants is the same, the allotment will be decided by draw of lots. No individual, firm, party or candidate will be allowed to charter the aircraft/helicopter for more than three days at a time."
"Is there any restriction on displaying poster, placard, banner, flag etc. of the party concerned or the candidate on a public property?","Candidate may display poster, placard, banner, flag etc. of the party concerned or the candidate on a public property subject to provisions of local law and prohibitory orders in force. For details, refer Commission’s instructions No.3/7/2008/JS-II, dated 7.10.2008 and No. 437/6/Campaign/ECI/INST/FUNCT/MCC-2016 dated 04.01.2017."
"If local law/bye-laws permit wall writings and pasting of posters, putting up hoardings, banners etc. on private premises/properties, is it necessary to obtain prior written permission from the owner of the premises/properties?",Yes. Candidate is required to obtain prior written permission from the owner of the properties/premises and photocopy(ies) of such permission should be submitted within 3 days to the Returning Officer or an officer designated by him for the purpose.
Is there any restriction on displaying/carrying poster/ placard/ banner/flag of the party concerned or of the candidate on the vehicle during the procession?,"The maximum permissible number and size of flags/banners by a party or candidate on a vehicle during procession is as follows- Two wheelers – one flag of maximum size 1X1/2 ft. No banners are allowed. One or two stickers of appropriate size are allowed. Three wheelers, four wheelers, e-Rickshaws – No banners are allowed. Only one flag of maximum size 3X2 ft. One or two stickers of appropriate size are allowed. If a political party has a pre-poll alliance/seat sharing arrangement with another party, then the vehicle of a candidate/political party may display one flag each of such parties."
Whether there is any ban on use of plastic sheets for making use of posters/banners during the election campaign?,"The political parties and candidates should try to avoid the use of plastic/polythene for preparation of posters, banners etc. in the interest of environmental protection."
"Is there any restriction on the printing of pamphlets, posters etc.?","Yes. Candidate shall not print or publish, or cause to be printed or published any election pamphlet or poster which does not bear on its face names and addresses of the printer and the publisher thereof. (Refer : Section 127A of Representation of 1951)"
"Is wearing of special accessories like cap, mask, scarf etc. of a candidate permitted during the campaigning?","Yes, provided they are accounted for in the election expenses of the candidate concerned. However, supply and distribution of main apparels like saree, shirt, etc. by party/candidate is not permitted as it may amount to bribery of voters."
"Whether there is restriction to display to the public any election matter by means of cinematograph, television or other similar apparatus?","Yes. Candidate can not display to the public any election matter by means of cinematograph, television or other similar apparatus during the period of 48 hours ending with the hour fixed for the conclusion of poll. (Refer: Sec. 126 of Representation of People Act, 1951) "
"Whether distribution of printed “Stepney Covers” or other similar material containing symbol of party/candidate or without depicting it, is a violation?","Yes. In case, it is established that such material has been distributed, a complaint may be filed before the area Magistrate by District Administration against the distribution of the said material under section 171 B of the IPC."
Are there conditions/guidelines for setting up and operating of Temporary Offices by Party or candidate?,"Yes. Such offices can not be opened by way of any encroachment either on public or private property/ in any religious places or campus of such religious places/ contiguous to any educational institution / hospital / within 200 meters of an existing polling station. Further, such offices can display only one party flag and banner with party symbol/photographs and the size of the banner used in such offices should not exceed ‘4 feet X 8 feet’ subject to the further condition that if the local laws prescribe a lower size for banner / hoarding etc., then the lower size prescribed by local law shall prevail."
Is there any restriction on the presence of political functionaries in a constituency after campaign period is over?,"Yes. After the closure of campaign period (starting from 48 Hrs. before closure of poll), political functionaries etc. who have come from outside the constituency and who are not voters of the constituency should not continue to remain present in the constituency. Such functionaries should leave the constituency immediately after campaign period is over. This will not apply in the case of candidate or his election agent even if they are not voters in the constituency."
Whether there is any restriction for holding public meeting or taking out processions?,Yes. Prior written permission should be obtained from the concerned police authorities for holding of a meeting at any public or private place and for taking out processions.
Whether loudspeakers can be used for public meetings or for processions or for general propaganda without obtaining permission from Police authorities?,No. Prior written permission should be obtained from the concerned police authorities for using loudspeakers.
Whether there is any time limit for using loudspeakers?,Yes. Loudspeaker can not be used at night between 10.00 P.M. and 6.00 A.M.
What is the deadline after which no public meetings and processions can be taken out?,"Public meetings cannot be held after 10 PM and before 6.00 AM. Further, Candidate can not hold public meetings and processions during the period of 48 hours ending with the hour fixed for the conclusion of poll. Suppose, poll day is 15th July and hours of poll are from 8.00 A.M to 5.00 P.M., then the public meetings and processions shall be closed at 5.00 P.M on the 13th July. (Refer: Sec. 126 of Representation of People Act, 1951)"
Whether  there  are  any  guidelines  for  political parties/candidates for issue of unofficial identity slips to voters?,"Yes. The unofficial identity slip, on white paper, shall contain only the particulars of the voter i.e. name, Serial number of voter, part No. in the electoral roll, s.no. and name of Polling Station and date of Poll. It should not contain the name of candidate, his photograph and symbol."
Is  there  any  restriction  on  appointment  of  a Minister/M.P./M.L.A/M.L.C or any other person who is under security cover as an Election Agent/Polling Agent/Counting Agent?,"Yes. A candidate cannot appoint a Minister/M.P./ MLA/MLC or any other person who is under security cover, as an election/polling agent/counting agent, as his personal security shall be jeopardized with such appointment, because his security personnel will not under any circumstances be permitted to accompany him into the 100 meter perimeter of polling stations described as the “Polling Station Neighbourhood” and within the polling booth and campus of counting centre and within the counting centre. Also any person having security cover will not be allowed to surrender his security cover to act as such agent of a candidate."
"Who is the authority to issue permits to Star Campaigners (Leaders) of the Political Parties who avail benefit under Section 77(1) of R.P Act, 1951?","In case the mode of road transport is to be availed of by Star Campaigners (Leaders) of political, the permit will be issued centrally by the Chief Electoral Officer. If such party applies for issue of permit for the same vehicle to be used by any leader for election campaigning throughout the State, the same may be issued for such vehicle centrally by the Chief Electoral Officer, which will be prominently displayed on windscreen of such vehicle(s) to be used by concerned leader(s). If different vehicles are to be used by such party leaders in different areas, then the permit can be issued against the name of the person concerned who will display it prominently on the windscreen of the vehicle being used by such leader."
"Whether Opinion poll or Exit poll can be conducted, published, publicized or disseminated at any time?","No. The result of any opinion poll or exit poll conducted shall not be published, publicized or disseminated in any manner by print, electronic or any other media, at any time- During the period of 48 hours ending with the hour fixed for closing of poll in an election held in a single phase; and in a multi-phased election, and in the case of elections in difference States announced simultaneously, at any time during the period starting from 48 hours before the hour fixed for closing of poll in the first phase of the election and till the poll is concluded in all the phases in all States."
Is it necessary to obtain written permission of the concerned Government authorities or local authorities for setting up of election booth?,Yes. It is necessary to obtain the written permission of the Government authorities concerned or local authorities before setting up of such booths.  Written permission must be available with the persons manning the booth for production before the police /election authorities concerned on demand.
Is there any restriction of canvassing in or near polling station?,Yes. Canvassing for votes etc. within a distance of one hundred meters of polling station is prohibited on the day of poll. (Refer : Section 130 of Representation of 1951)
Is there any restriction of going armed to or near polling station?,Yes. No person is allowed to go armed with arms as defined in Arms Act 1959 of any kind within the neighbourhood of a polling station on the day of poll. (Refer: Section 134B of Representation of 1951)
How many vehicles a candidate is entitled for on the day of poll?,"(i)  For an election to the House of the People, a candidate will be entitled to: One vehicle for candidate’s own use in respect of the entire constituency. One vehicle for use of candidate’s election agent for entire constituency. In addition, one vehicle for use of candidate’s workers or party workers, as the case may be, in each of the assembly segments comprised in the Parliamentary Constituency. (ii)  For an election to the State Legislative Assembly, a candidate will be entitled to: One vehicle for candidate’s own use. One vehicle for use of candidate’s election agent. In addition, one vehicle for use of candidate’s workers or party workers."
"If the candidate is absent from the constituency on the day of poll, can the vehicle allotted in his name be used by any other person?",No. Vehicle allotted for candidate’s use is not allowed to be used by any other person.
Can any type of entitled vehicle be used on the day of poll?,"No. The candidate or his agent or party workers or workers will be allowed to use only four/three/two wheeler vehicles i.e. cars (of all types), taxis, auto rickshaws, rickshaws and two wheelers. In these vehicles not more than five persons including drivers are allowed to move on the day of poll."
Whether Political Party/Candidate can make arrangements for transporting voter to and from Polling Station?,"No.  Any arrangement, direct or indirect, to carry any voter to or from polling station by any kind of vehicle used for transport is a criminal offence. (Refer: Sec. 133 of Representation of People Act, 1951)"
Can a leader of Political party use private fixed-wing aircraft and helicopters for the purposes of supervising and monitoring the polling and counting process on the day of poll and counting?,No. Leader of a political party is not allowed to use private fixed-wing aircraft and helicopters for the purposes of supervising and monitoring the polling and counting process on the day of poll and counting.
Who is a service voter ?,"Service voter is a voter having service qualification. According to the provisions of sub – section (8) of Section 20 of Representation of People Act, 1950, service qualification means – (a) Being a member of the armed Forces of the Union ; or (b)Being a member of a force to which provisions of the Army Act, 1950 (46 of 1950), have been made applicable whether with or without modification ;(c) Being a member of an Armed Police Force of a State, and serving outside that state; or (d) Being a person who is employed under the Government of India, in a post outside India."
What is the relevant date for revision of electoral roll ?,The relevant date for revision of electoral roll is 1st January of the year in which the roll is finally published.
How is a service voter different from an ordinary elector?,"While an ordinary elector is registered in the electoral roll of the constituency in which his place of ordinary residence is located, person having service qualification can get enrolled as ‘service voter’ at his native place even though he actually may be residing at a different place (of posting). He has, however, an option to get himself enrolled as general elector at the place of his posting where he factually, at the point of time, is residing ordinarily with his family for a sufficient span of time."
What are the application Forms in which various categories of service voters have to apply for enrollment as elector ?,"Following are the application Forms in which various categories of service voters are to make application for enrollment as service voter : - Members of Armed Forces  – Form 2; Members of Armed Police Force of a State, serving outside that State – Form 2 A; Persons employed under Government of India on post outside India  – Form 3. However, if a service personnel has opted to get himself enrolled as general elector at place of his posting, where he is actually residing, he will have to apply in Form 6 like other general electors."
Are members of all Armed Forces / Para Military Forces eligible to be enrolled as service voters?,"As per the existing arrangements, members of Indian Army, Navy and Air Force and personnel of General Reserve Engineer Force (Border Road Organization), Border Security Force, Indo Tibetan Border Police, Assam Rifles, National Security Guards, Central Reserve Police Force, Central Industrial Security Force and Sashastra Seema Bal are eligible to be registered as service voters."
From where Form 2 / 2 A / 3 can be obtained?,It can be downloaded from the website of Election Commission of India.
What is the process of enrollment of a service personnel as a service voter ?,"Election Commission orders revision / updation of rolls for service voters twice in a year. The Commission sends a communication to Ministry of Defence, Ministry of Home Affairs and Ministry of External Affairs intimating them of the commencement of revision programme. As soon as the programme is announced, persons having service qualification can fill up the application in statutory Form 2 / 2A / 3, in duplicate, and handover to the officer in-charge of record office or the nodal authority in Ministry of External Affairs (in case of persons employed under Government of India on a post outside India). The person applying in Form 2 / 2A has also to submit a declaration in a prescribed format to the effect that he did not get enrolled as general elector in any constituency. The declaration need not be in duplicate. The officer in-charge / nodal authority will check the Form and declaration and ensure that the Form is complete in all respects and particulars filled by the applicant therein are correct. The officer in-charge, will then, sign the verification certificate provided in the Form itself and forward the same to the Chief Electoral Officer of the State concerned. The Chief Electoral Officer sends the Form to respective District Election Officer who will then send it to the Electoral Registration Officer of the constituency. The Electoral Registration Officer will process the Form."
Is wife or son/daughter of a service voter also enrolled as a service voter ?,"The wife of a service voter shall, if she is ordinarily residing with him, be also deemed to be a service voter in the constituency specified by that person. The service voter has to make a statement to the effect in the relevant Form 2/2A/3 that his wife ordinarily resides with him. The wife will be enrolled as a service voter on the basis of declaration made by her husband in the application form itself submitted by him and no separate declaration / application is required to be made by the wife. A son / daughter / relative / servant etc. residing ordinarily with a service voter cannot be enrolled as service voter."
Is facility of enrollment as a service voter available to the husband of a female service voter ?,"Under the existing law, this facility is available only to the wife of a male service voter and is not available to the husband of a female service voter."
Can one be enrolled simultaneously as a service voter at his native place as well as a general voter at the place of posting ?,"No. A person, at a particular time, cannot be enrolled as a voter at more than one place in view of the provisions contained under Sections 17 and 18 of Representation of People Act, 1950. Likewise, no person can be enrolled as an elector more than once in any electoral roll. As explained above, a service voter has option either to get himself registered as service voter at his native place or as general elector at the place of posting. When a person applies for registration as a service voter in Form 2 / 2A, he has to submit a declaration in a prescribed format to the effect that he did not get enrolled as ordinary general elector in any constituency."
Who is a Classified Service Voter?,"Service voter belonging to Armed Forces or forces to which provisions of Army Act, 1950 are applicable, has 0ption of either voting through postal ballot or through a proxy voter duly appointed by him. A service voter who opts for voting through a proxy is called Classified Service Voter (CSV)."
Who is a ‘ proxy ’ ?,"A service voter may appoint (by applying to Returning Officer in Form 13 F of Conduct of Elections Rules, 1961 – Form available at the website of Election Commission) any person as his / her proxy to give vote on his / her behalf and in his / her name at the polling station. The proxy shall have to be ordinary resident of that constituency. He need not be a registered voter but he / she must not be disqualified to be registered as a voter."
What is the procedure of appointment of a ‘proxy’ ?,"A ‘proxy’ can be appointed in the following two ways :- 1. If a service voter is at the place of his posting, he has to put his signature in Form 13F before the Commanding Officer of the Unit and then to send the Form to his proxy for affixing his / her signature before a Notary / First Class Magistrate. Thereafter, the proxy can submit the Form to the Returning Officer concerned. 2. If a service voter is at his native place,  both  he  and  his  proxy  can  sign Form 13 F before a Notary / First Class Magistrate and then send to the Returning Officer concerned."
For what period a proxy remains valid?,"The provision for voting through proxy is valid till the person making the appointment is a service voter. Once appointed, the proxy will continue until his appointment is revoked by the service voter. The facility of proxy voter can be revoked and the proxy can be changed at any time or for any number of times by the Classified Service Voter. Thus a Classified Service Voter can revoke and opt back for postal ballot route or even substitute the proxy by intimating the Returning Officer in Form 13 G of Conduct of Elections Rules, 1961 (Form available at the website of Election Commission). Revocation will become effective from the date it is received by the Returning Officer."
When should the application for appointment of a proxy be made?,"Application for appointment of a proxy should be received by the Returning Officer before the last date of filing of nomination papers. An application for appointment of a proxy received after the last date of filing nomination papers cannot be considered for the election in progress, though it will be valid for subsequent elections unless revoked / changed."
How does a ‘proxy’ record the vote on behalf of the service voter at the polling station ?,"The proxy can record the vote on behalf of the service voter at the polling station to which service voter is assigned, in the same manner as any other elector assigned to that polling station. The proxy will be entitled to vote on behalf of the service voter, in addition to the vote that he / she may cast in his / her own name if he/she is a registered elector in the constituency, at the polling station to which he / she has been normally assigned."
Can a Classified Service Voter be issued postal ballots by the Returning Officer ?,A Classified Service Voter cannot be issued postal ballots but the appointed proxy shall physically come and vote at the polling station which covers the classified voter’s home address.
What is the structure of list of service voters in the electoral roll ?,"While the list of classified service voter shall be maintained polling station wise, the list of other service voters is prepared separately for a constituency as a whole and all service voters registered therein shall be arranged at the end of electoral roll of a constituency as a separate last part. All service voters belonging to a constituency shall be listed together, irrespective of the place of residence, in this last part. These service voters do not have any specified polling station. The last part meant for service voters has three subparts – ‘A’ (For Armed Forces), ‘B’ (Armed Police Force of States serving outside the respective State) and ‘C’ (For persons employed under Government of India against a post outside India)."
How many times the last part of electoral roll for service voters is updated in a year?,The last part of electoral roll / list of service voters is updated twice and 2 supplements are brought out in a year.
In which language the last part of rolls is prepared for service voters ?,The last part containing the list of service voter is prepared in English only.
Is a service voter issued Elector Photo Identity Card (EPIC) like ordinary electors?,"A service voter is not issued Elector Photo Identity Card (EPIC). Elector Photo Identity Card (EPIC) is a document of identity which an elector has to show at the polling station at the time of casting his vote. As service voters are issued postal ballots or votes through his ‘proxy’, they are not required to visit the polling stations personally and therefore Elector Photo Identity Cards (EPICs) is not issued to them."
Is a service voter required to apply for issue of a postal ballot paper?,No; the Returning Officer will himself send a postal ballot paper to him through his record office (or direct or through the Ministry of External Affairs in the case of a service voter serving outside India).
What can be the maximum number of members of Rajya Sabha?,250. The maximum number of members of Rajya Sabha can be 250. Article 80 of the Constitution of India provides that 12 members are to be nominated by the President of India and not more than 238 representatives from the States to be elected by the elected members of the State Legislative Assemblies in accordance with the system of proportional representation by means of the single transferable vote. (Article 80 of the Constitution).
What is the present strength of Rajya Sabha?,245 Members. 12 are nominated and 233 are elected.
What is the life of Rajya Sabha?,"Rajya Sabha is a Permanent House and is not subject to dissolution as per Article 83. (1) of the Constitution of India. But as nearly as possible, one third of its members shall retire every 2nd year and an equal number of members are chosen to replace them."
Who elects the members of the Rajya Sabha?,Elected members of the State Legislative Assemblies. Here the word ‘State’ includes Puducherry and National Capital Territory of Delhi also. Article 80(4) of Constitution of India provides that members of Rajya Sabha  shall be elected by the elected members of State Legislative Assemblies through the system of proportional representation by means of the single transferable vote.
Who nominates the members of the Rajya Sabha?,President of India. The President of India nominates 12 members of Rajya Sabha as mentioned earlier.
Is there any special qualification for nominated members?,"Yes. Article 80 (3) of the Constitution of India provides that the members to be nominated by the President to Rajya Sabha should have special knowledge or practical experience in matters like literature, science, art and social service. Article 84 (b) stipulates that a person shall be of not less than 30 (Thirty) years of age."
How many no. of Proposers are required to subscribe a Nomination in election to Council of States?,"In the case of candidates set up by recognized parties, each nomination of a candidate for election to the Council of States or State Legislative Council shall be subscribed by at least ten per cent of the elected members of the Legislative Assembly concerned or ten members, whichever is less, as proposers. In case of other candidates, by ten elected members of the Legislative Assembly."
How many sets of nomination paper a candidate can file?,"Four. Under sub-section (6) of section 33 of the Representation of the People Act, 1951, read with sub-section (2) g Section 39, a maximum of four nomination papers only, can be presented by or on behalf of any candidate or accepted for election in the same Constituency."
Who can present the nomination paper to the Returning Officer?,Nomination paper to be presented either by candidate or by any of his proposers.
What is the amount of security deposit for contesting Rajya Sabha election?,"Every candidate at an election to the Council of States or a State Legislative Council is required to make a deposit of Rs. 10,000/- (Section 34 read with section 39 (2) of the Representation of the People Act, 1951) as amended by the Representation of the People (Amendment) Act, 2009 (come into force from 1st February, 2010). The amount of deposit shall be Rs. 5,000/- only, if he/she is a member of a Scheduled Castes or Scheduled Tribes."
"Whether an elected member of the Legislative Assembly/Union Territory is entitled to participate as an elector at an election to the Council of States or State Legislative Council, even before he has assumed his seat in the legislative assembly and has yet to make and subscribe the requisite oath or affirmation as a member of the assembly under the Constitution? Can Such members be proposers for nomination?","Yes. This question arose in Pashupati Nath Sukul Vs Nem Chand Jain (AIR 1984 SC 399). The Supreme Court held that the members of the newly elected legislative assembly became members of that assembly as soon as the assembly was constituted by the Election Commission by its notification under Section 73 of the RP Act 1951, and such members could participate in all non-legislative activities, including the election to the Council of States, even before taking their seats in the assembly. This view was reaffirmed by the Supreme Court by its order of 6 January, 1997 [Madhukar Jetly Vs Union of India and Ors-1997(II)SCC III]. Such member can also act as proposers for nomination of candidates."
Whether the provisions of the Tenth Schedule to the Constitution relating to disqualifications on the ground of defection are applicable to open voting at elections to Council of States?,"No.The Supreme Court in its judgment dated 22 August 2006 in the matter of Kuldip Nayar Vs Union of India and Ors (AIR 2006 SC3127) observed that ‘The contention that the right of expression of the voter at an election for the Council of States is affected by open ballot in not tenable, as an elected MLA would not face any disqualification from the Membership of the House for voting in a particular manner. He may at the most attract action from the political party to which he belongs."
"Whether an elected member of a state legislative assembly, whose election has been set aside by the High Court in an election petition, but in whose favour a conditional stay has been granted by the Supreme Court during the pendency of his appeal, permitting the member concerned to sign the assembly’s attendance register but not permitting him to take part in the proceedings of the House, can vote at the elections to the Council of States or the State Legislative Council?","No. The Supreme Court clarified their order of 27 October 1967 (Satyanarayana Mitra Vs Bireswar Ghose Appeal No. 1408 (NCE) of 1967) that the member concerned should not be allowed to participate in the election to the Council of States. Thereafter as a rule, no such member of any State Legislative Assembly has been permitted to either propose the name of any candidate or to vote at any election to the Council of States or State Legislative Council."
"Whether an elected member of a state legislative assembly, whose election has been set aside by High Court on an election petition, but the Supreme Court grants an absolute stay of the High Court’s order, can vote at the elections to the Council of States or State Legislative Council?","Yes. In such case the order of the High Court shall be deemed never to have taken effect under Section 116B(3) of the RP Act, 1951, and the member concerned shall continue to enjoy all rights and privileges of a member of the legislative assembly without any fetters, including his right to participate in election to the Council of States or State Legislative Council."
"If a biennial election is not held in due time due to non-existence of the state legislative assembly concerned at the relevant time and the resultant vacancies remain unfilled for a long time during which some other regular vacancies also arise, can the vacancies so arising be combined for a common election or the vacancies arising on each separate occasion (categories) have to be filled by separate elections, even if a common time table for such elections is adopted on the constitution of the assembly concerned?","The regular vacancies that arose from different categories/cycles (determined at the time of initial constitution of the Councils) cannot be combined and vacancies arising on separate occasion have to be filled by separate elections, even if a common time table for such elections is adopted. [Surinder Pal Ratawal Vs Shamim Ahmed AIR 1985 Del 22 & A K Walia Vs Union of India and Ors Civil Writ No. 132 of 1994 before Delhi High Court]."
Can the oath or affirmation be made and subscribed on the day of scrutiny of nomination papers at that election.,"No, The oath or affirmation should be made and subscribed before the date fixed by the Election Commission for scrutiny of nomination papers at that election. The decisions of the Supreme Court in PasupatiNathsingh vs. Harihar Prasad Singh (A.I.R. 1968 S.C.- 1064) and Khadar Khan Hussain Khan and other vs. Nijalingapppa [(1970) (1) S.C.A-548] have clarified the position and removed all doubts in regard to actual making and subscribing the oath or affirmation. According to these judgments, the oath or affirmation can be made and subscribed by a candidate only after his nomination paper is delivered and it cannot be so made and subscribed on the date of scrutiny. It has to be made before the date fixed for scrutiny."
Whether same proposer can propose the nomination of more than one candidate?,"Yes. There is no bar under the law against an elector proposing the nomination of more than one candidate. Thus, an elector subscribing as proposer for the nomination of one candidate may so subscribe the nominations of one or more other candidates also (Amolak Chand Vs Raghuveer Singh AIR 1968 SC 1203). Even a candidate himself may propose the nomination of another candidate for the same election."
Who can present the nomination paper of a candidate?,"A nomination paper shall be presented to the returning officer or the authorised assistant returning officer either by the candidate himself in person or by any of his proposers [s 33(1) read with Section 39(2), 1951 Act]. It cannot be presented by any other person, even if authorised in writing by the candidate or the proposer."
"Whether nomination paper can be sent by post or through any other means of communication, like fax or e-mail?","No. Nomination cannot be sent by post or through any other means of communication, like fax or e-mail [see Hari Vishnu Kamath Vs Gopal Swarup Pathak 48 ELR 1]"
Whether the notice of withdrawal of candidature can be revoked?,"No. Once a candidate has given notice of withdrawal of candidature in the prescribed manner, he has no option or discretion thereafter to withdraw or cancel his said notice [s 37(2) read with Section 39(2) of RP Act 1951]."
"How many affidavits, a candidate has to file with his nomination papers?","Two affidavits one in Form 26 and additional affidavit as per the form prescribed by the Commission vide its Order No. 509/11/2004-JS.I dated 03.02.2016, regarding dues against Government accommodation."
"Whether the nomination paper is valid, if any of the columns of Affidavit (Form-26) is left unfilled?","The Hon’ble Supreme Court in its judgment dated 13/9/2013 in WP(C) No. 121 of 2008 (Resurgence India Vs. Election Commission of India and Ors) has held that in the affidavits filed by candidates along with their nomination paper, the candidates are required to fill up all columns therein and no column can be left blank. Therefore, at the time of filing of affidavit, RO has to check whether all columns of the affidavit filed with the nomination paper are filled up. If not, the RO shall give a notice to the candidate to submit a fresh affidavit with all columns duly filled in. The Hon’ble Court has held that if there is no information to be furnished against any item, appropriate remarks such as ‘NIL’ or ‘Not Applicable’ etc as may be applicable shall be indicated in such column. They should not leave any column blank. If a candidate fails to fill the blanks even after notice from R.O., the nomination paper will be liable to be rejected by the RO at the time of scrutiny of nomination papers."
Whether nomination paper of any candidate can be rejected if the information given therein is incorrect?,"No, giving wrong information in nomination form is not the criterion for rejection of nomination papers. The Returning Officer can reject the nomination papers as per the provisions contained in Section 36 of the Representation of the People Act, 1951."
Then what is the penalty a candidate faces for filing a wrong affidavit?,"If a candidate files false declaration or conceals information in affidavit in FORM 26, then he is punishable with imprisonment for a term which may extend to six months, or with fine, or with both under Section 26 of the Representation of the People Act, 1951. In this case as per the Commission’s instruction dated 26.04.2014, the complainant can move before appropriate Court of Law for action under Section 125A of the Representation of the People Act, 1951 directly."
What is the outer time limit for filing the various documents required to be filed in connection with nomination paper?,"(a) The affidavit in Form 26, the additional affidavit and Forms AA & BB have to be filed latest by 3.00 P.M. on the last date of filing nominations. Revised affidavit may be filed upto the time fixed for scrutiny of nominations, if the candidate has left any column blank in the original affidavit and the Returning Officer has given notice for filing fresh and complete affidavit. (b)    Oath has to be taken after filing nomination paper and before the date fixed for scrutiny. (c)    Certified extract of electoral roll can be filled up to the time of scrutiny."
Whether Form AA and Form BB can be sent by Fax or photocopy of the same can be submitted?,No.
Whether Form AA and Form BB can be submitted after 3.00 pm on the last date of filing nominations?,No.
How does open ballot system work?,"Open ballot voting applies in election to Council of States only. Every political party which has its member(s) as MLAs can appoint an authorized agent to verify as to whom its members have voted. The authorized agent will be seated inside the polling station in seats provided by the R.O. In case of MLAs who are members of political parties, after they mark the vote and before inserting the ballot box, are required to show the marked ballot paper to the authorized agent of their party."
Whether an authorized agent of a party at elections to Council of States can be the authorized agent of another party simultaneously?,"No. The spirit behind Rule 39AA of the Conduct of Elections Rules 1961 is that MLAs belonging to a political party shall show their ballot papers (after marking their vote) to the authorized agent of that party only and not to the authorized agent of other parties. As such, the same person cannot be appointed as the authorized agent of more than one party."
"What action is required to be taken by Presiding Officer/Returning Officer in election to Council of States, in case an elector belonging to a political party refuse to/does not show his/her marked ballot paper to the authorized agent of his party or shows his/her marked ballot paper to the authorized agent of other political party?","In such case the ballot paper issued to the elector shall be taken back by the presiding officer or a polling officer under the direction of the presiding officer and the ballot paper and keep it in a separate envelope after recording on the reverse side of the ballot paper “Cancelled-voting procedure violates”. Provision in sub-rules (6) to (8) of rule 39A of the Conduct of Elections Rules, 1961, shall apply in such case. In case before taking back such ballot paper the elector dropped the ballot paper into ballot box, at the time of counting such ballot paper, RO should first separate this concerned ballot paper and it shall not be counted."
Can an independent MLA show his marked ballot paper to the authorized agent of any party?,"No, Independent MLAs are required to insert the marked ballot paper in the ballot box without showing the marked ballot to any agent."
Whether an MLA or Minister can be appointed as authorized agents of the party at the election to the Council of States and State Legislative Councils by MLAs?,There is no such restriction imposed by the Commission in elections to the Council of States and State Legislative Council by MLAs.
"Whether the  list  of  electors  to  be  maintained  under  section  152 of the Representation of the People Act, 1951 can be amended to include the name of newly elected member of state legislative assembly after the date of notification of election to the Council of States or even after the last date of filing of nomination?","In case when a member gets elected to the Legislative Assembly at a bye-election, result of which is declared after the date of notification of election to the Council of States or even after the last date of filing nomination, the name of newly elected MLA should be included in the list of members maintained under Section 152 of the RP Act, 1951. Further, he shall then be entitled to vote at the election to the Council of States if the poll is taken after the date of his election as MLA. This instruction is also applicable in the case of elections to Legislative Council by MLAs."
"Whether a person can vote at any election if he is confined in a prison, whether under a sentence of imprisonment or as under trial, or is in the lawful custody of the police?","No. The provisions of Section 62(5) of the Representation of the People Act, 1951 provides that no person shall vote at any election if he is confined in a prison, whether under a sentence of imprisonment of transportation or otherwise, or is in the lawful custody of the police."
What is the condition for getting registered in the electoral roll?,"The applicant should be an Indian citizen, 18 years or more of age with reference to the qualifying date, and an ordinary resident of the area concerned."
What is the relevant date for determining the age of 18 years?,The qualifying date is January 1 of the year in which the electoral roll is prepared.
When will the ERO process the advance claims received?,The ERO processes advance claims received up to the third day after the last date of filing claims.
"What is the relevant date for revision of electoral roll after the Election Laws (Amendment) Act, 2021?","The relevant date for the revision of electoral roll after the Election Laws (Amendment) Act, 2021, is January 1 of the year in which the electoral roll is prepared."
Can a non-citizen of India become a voter in the electoral rolls in India?,"No, only Indian citizens are eligible to be enrolled as voters in the electoral rolls in India."
Can a non-resident Indian settled in a foreign land become an elector in the electoral roll in India?,"Yes, a non-resident Indian settled in a foreign land can become an elector in the electoral roll in India."
How can one get registered/enrolled in the electoral roll?,One can get registered/enrolled in the electoral roll by filling Form 6 online or offline and submitting it to the Electoral Registration Officer (ERO) of the constituency.
From where can registration forms be obtained?,Registration forms can be obtained from the offices of Electoral Registration Officers or Assistant Electoral Registration Officers.
What documents are required to be enclosed with Form 6?,The documents required to be enclosed with Form 6 include proof of age and residence.
Is it mandatory to provide the Aadhaar details of the applicant in the field provided in the Forms for registration?,"Providing Aadhaar details is optional, not mandatory."
I am a student staying at the place of study in a hostel/mess far from my native place. What should I do?,Students staying at the place of study in a hostel/mess far from their native place can get enrolled at the place of study.
"A homeless person, who is otherwise eligible for registration as an elector, does not possess documentary proof of ordinary residence. What is the procedure of verification in such a case?","In the case of a homeless person without proof of ordinary residence, verification is done through a field inquiry."
"I am a tenant, and my landlord does not want me to get enrolled. How can I get enrolled as a voter?",Tenants can get enrolled by providing the required documents and with the landlord's agreement.
Where can the postal address of the Electoral Registration Officers be obtained from?,The postal addresses of Electoral Registration Officers can be obtained from the website of the Chief Electoral Officer of the respective state or union territory.
"If I apply online, do I need to send a physically signed copy of the form with documents to the Electoral Registration Officer's address?","If applying online, a physically signed copy of the form with documents need not be sent to the ERO."
